feature,importance
TotalCharges_2443.3,0.0007029499455815057
TotalCharges_2196.3,0.0006991710937483903
TotalCharges_460.2,0.0006953401495065268
TotalCharges_3842.6,0.0006895277463204364
TotalCharges_5746.75,0.0006525363051188772
TotalCharges_4982.5,0.0006503528268603369
TotalCharges_5174.35,0.0006143584339045739
TotalCharges_869.9,0.0005839312333030689
TotalCharges_572.2,0.0005322697633797481
TotalCharges_273.25,0.0005239976752569517
TotalCharges_564.35,0.000512911296623973
TotalCharges_417.5,0.00048793450085351603
TotalCharges_6997.3,0.0004874111990098873
TotalCharges_3297,0.0004806708600692909
TotalCharges_4299.2,0.00045333251135891607
TotalCharges_1564.05,0.0004263644205313558
TotalCharges_595.05,0.0003881290852820366
TotalCharges_465.45,0.0003732057155206791
TotalCharges_5956.85,0.0003420072503243498
TotalCharges_579.4,0.0003088972492519694
TotalCharges_5831.2,0.0002760003556752099
TotalCharges_1068.15,0.00024394218793040778
TotalCharges_630.6,0.0002282134361382592
TotalCharges_1498.85,0.00019871889786944832
TotalCharges_1261.45,0.00016254560966856566
TotalCharges_784.25,0.00014249804839778525
TotalCharges_1678.05,0.00012987574848921833
TotalCharges_1859.2,9.905063290118282e-05
TotalCharges_1004.35,0.0
TotalCharges_1036.75,0.0
TotalCharges_1005.7,0.0
TotalCharges_1004.5,0.0
TotalCharges_1006.9,0.0
TotalCharges_1003.05,0.0
TotalCharges_1001.5,0.0
TotalCharges_1001.2,0.0
TotalCharges_100.8,0.0
TotalCharges_100.9,0.0
TotalCharges_107.05,0.0
TotalCharges_1007.8,0.0
TotalCharges_1007.9,0.0
TotalCharges_1008.55,0.0
TotalCharges_1008.7,0.0
TotalCharges_1009.25,0.0
TotalCharges_101.1,0.0
TotalCharges_101.45,0.0
TotalCharges_101.65,0.0
TotalCharges_1010,0.0
TotalCharges_987.95,0.0
TotalCharges_100.35,0.0
TotalCharges_100.4,0.0
TotalCharges_1073.3,0.0
TotalCharges_100.25,0.0
TotalCharges_1004.75,0.0
TotalCharges_107.25,0.0
TotalCharges_107.6,0.0
TotalCharges_1070.15,0.0
TotalCharges_1070.25,0.0
TotalCharges_1070.5,0.0
TotalCharges_1070.7,0.0
TotalCharges_1071.4,0.0
TotalCharges_1071.6,0.0
TotalCharges_1072,0.0
TotalCharges_1072.6,0.0
TotalCharges_989.45,0.0
TotalCharges_1074.3,0.0
TotalCharges_1074.65,0.0
TotalCharges_1077.05,0.0
TotalCharges_981.45,0.0
TotalCharges_1077.95,0.0
TotalCharges_1078.75,0.0
TotalCharges_1078.9,0.0
TotalCharges_104.2,0.0
TotalCharges_1037.75,0.0
TotalCharges_1090.1,0.0
TotalCharges_989.05,0.0
TotalCharges_993.15,0.0
TotalCharges_99.45,0.0
TotalCharges_999.9,0.0
TotalCharges_1025.15,0.0
TotalCharges_1025.95,0.0
TotalCharges_1026.35,0.0
TotalCharges_1027.25,0.0
TotalCharges_1028.75,0.0
TotalCharges_1028.9,0.0
TotalCharges_1029.35,0.0
TotalCharges_982.95,0.0
TotalCharges_1029.8,0.0
TotalCharges_103.7,0.0
TotalCharges_1031.1,0.0
TotalCharges_1031.7,0.0
TotalCharges_1032,0.0
TotalCharges_1032.05,0.0
TotalCharges_1033,0.0
TotalCharges_1033.9,0.0
TotalCharges_1033.95,0.0
TotalCharges_1035.5,0.0
TotalCharges_1035.7,0.0
TotalCharges_1036,0.0
TotalCharges_1024.7,0.0
TotalCharges_1025.05,0.0
TotalCharges_1024.65,0.0
TotalCharges_1011.8,0.0
TotalCharges_994.8,0.0
TotalCharges_999.8,0.0
TotalCharges_999.45,0.0
TotalCharges_998.1,0.0
TotalCharges_997.75,0.0
TotalCharges_997.65,0.0
TotalCharges_996.95,0.0
TotalCharges_996.85,0.0
TotalCharges_996.45,0.0
TotalCharges_995.35,0.0
TotalCharges_994.55,0.0
TotalCharges_1011.5,0.0
TotalCharges_992.7,0.0
TotalCharges_990.9,0.0
TotalCharges_990.85,0.0
TotalCharges_990.45,0.0
TotalCharges_990.3,0.0
TotalCharges_99.95,0.0
TotalCharges_99.75,0.0
TotalCharges_99.6,0.0
TotalCharges_1011.05,0.0
TotalCharges_107.1,0.0
TotalCharges_1057,0.0
TotalCharges_1068.85,0.0
TotalCharges_1041.8,0.0
TotalCharges_1057.85,0.0
TotalCharges_1058.1,0.0
TotalCharges_1058.25,0.0
TotalCharges_1058.6,0.0
TotalCharges_1059.55,0.0
TotalCharges_106.55,0.0
TotalCharges_1039.45,0.0
TotalCharges_106.8,0.0
TotalCharges_106.85,0.0
TotalCharges_106.9,0.0
TotalCharges_1060.2,0.0
TotalCharges_1060.6,0.0
TotalCharges_1061.6,0.0
TotalCharges_1062.1,0.0
TotalCharges_1064.65,0.0
TotalCharges_1064.95,0.0
TotalCharges_1066.15,0.0
TotalCharges_1054.75,0.0
TotalCharges_1054.6,0.0
TotalCharges_1052.4,0.0
TotalCharges_1052.35,0.0
TotalCharges_1057.55,0.0
TotalCharges_1012.4,0.0
TotalCharges_1056.95,0.0
TotalCharges_1360.25,0.0
TotalCharges_1357.1,0.0
TotalCharges_1358.6,0.0
TotalCharges_1358.85,0.0
TotalCharges_1359,0.0
TotalCharges_1359.45,0.0
TotalCharges_1359.5,0.0
TotalCharges_1359.7,0.0
TotalCharges_136.05,0.0
TotalCharges_136.75,0.0
TotalCharges_1362.85,0.0
TotalCharges_1055.9,0.0
TotalCharges_1363.25,0.0
TotalCharges_1363.45,0.0
TotalCharges_1364.3,0.0
TotalCharges_1364.75,0.0
TotalCharges_1210.4,0.0
TotalCharges_121.25,0.0
TotalCharges_1426.75,0.0
TotalCharges_106.2,0.0
TotalCharges_1054.8,0.0
TotalCharges_104.3,0.0
TotalCharges_1042.65,0.0
TotalCharges_1079.05,0.0
TotalCharges_1043.3,0.0
TotalCharges_108.95,0.0
TotalCharges_1080.55,0.0
TotalCharges_1081.25,0.0
TotalCharges_1081.45,0.0
TotalCharges_1082.75,0.0
TotalCharges_1082.8,0.0
TotalCharges_1083,0.0
TotalCharges_1083.7,0.0
TotalCharges_1086.75,0.0
TotalCharges_1087.25,0.0
TotalCharges_1087.45,0.0
TotalCharges_1087.7,0.0
TotalCharges_1088.25,0.0
TotalCharges_109.2,0.0
TotalCharges_109.25,0.0
TotalCharges_109.3,0.0
TotalCharges_109.5,0.0
TotalCharges_109.6,0.0
TotalCharges_108.05,0.0
TotalCharges_1079.45,0.0
TotalCharges_1067.65,0.0
TotalCharges_108.7,0.0
TotalCharges_108.65,0.0
TotalCharges_108.15,0.0
TotalCharges_1048.85,0.0
TotalCharges_1043.35,0.0
TotalCharges_1043.4,0.0
TotalCharges_1043.8,0.0
TotalCharges_1045.25,0.0
TotalCharges_1046.1,0.0
TotalCharges_1046.2,0.0
TotalCharges_1046.5,0.0
TotalCharges_1047.7,0.0
TotalCharges_1048.45,0.0
TotalCharges_1049.05,0.0
TotalCharges_1079.65,0.0
TotalCharges_1049.6,0.0
TotalCharges_105.5,0.0
TotalCharges_105.6,0.0
TotalCharges_1050.5,0.0
TotalCharges_1051.05,0.0
TotalCharges_1051.9,0.0
TotalCharges_1066.9,0.0
TotalCharges_1067.05,0.0
TotalCharges_1067.15,0.0
TotalCharges_1024,0.0
TotalCharges_1178.4,0.0
TotalCharges_1023.95,0.0
TotalCharges_1119.35,0.0
TotalCharges_1147.45,0.0
TotalCharges_1090.65,0.0
TotalCharges_1112.3,0.0
TotalCharges_1108.8,0.0
TotalCharges_111.05,0.0
TotalCharges_111.4,0.0
TotalCharges_111.65,0.0
TotalCharges_1110.05,0.0
TotalCharges_1110.35,0.0
TotalCharges_1110.5,0.0
TotalCharges_1111.2,0.0
TotalCharges_1111.65,0.0
TotalCharges_1111.85,0.0
TotalCharges_1113.95,0.0
TotalCharges_1147,0.0
TotalCharges_1114.55,0.0
TotalCharges_1114.85,0.0
TotalCharges_1115.15,0.0
TotalCharges_1115.2,0.0
TotalCharges_1115.6,0.0
TotalCharges_1117.55,0.0
TotalCharges_1148.1,0.0
TotalCharges_1191.2,0.0
TotalCharges_1190.5,0.0
TotalCharges_1183.8,0.0
TotalCharges_118.3,0.0
TotalCharges_1191.4,0.0
TotalCharges_118.4,0.0
TotalCharges_118.5,0.0
TotalCharges_1180.95,0.0
TotalCharges_1181.75,0.0
TotalCharges_1182.55,0.0
TotalCharges_1183.05,0.0
TotalCharges_1183.2,0.0
TotalCharges_1184,0.0
TotalCharges_119.75,0.0
TotalCharges_1185,0.0
TotalCharges_1185.95,0.0
TotalCharges_1187.05,0.0
TotalCharges_1188.2,0.0
TotalCharges_1188.25,0.0
TotalCharges_1189.4,0.0
TotalCharges_1189.9,0.0
TotalCharges_119.3,0.0
TotalCharges_119.5,0.0
TotalCharges_1118.8,0.0
TotalCharges_1119.9,0.0
TotalCharges_1193.05,0.0
TotalCharges_112.3,0.0
TotalCharges_1107.2,0.0
TotalCharges_112.75,0.0
TotalCharges_1120.3,0.0
TotalCharges_1120.95,0.0
TotalCharges_1131.3,0.0
TotalCharges_1132.35,0.0
TotalCharges_1132.75,0.0
TotalCharges_1133.65,0.0
TotalCharges_1133.7,0.0
TotalCharges_1133.9,0.0
TotalCharges_1134.25,0.0
TotalCharges_1135.7,0.0
TotalCharges_1137.05,0.0
